
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   2872 Console                    8     25,048 K
svchost.exe                  10432 Console                    8     31,968 K
taskhostw.exe                15584 Console                    8     16,428 K
SynTPLpr.exe                  8916 Console                    8      8,380 K
SynLenovoHelper.exe           1036 Console                    8      9,512 K
igfxEM.exe                    8164 Console                    8     13,148 K
igfxHK.exe                    7284 Console                    8      9,728 K
SynTPHelper.exe              14128 Console                    8      5,912 K
CUI.exe                      13292 Console                    8      9,092 K
SmcGui.exe                    1256 Console                    8     16,080 K
explorer.exe                   704 Console                    8    128,504 K
ShellExperienceHost.exe       3596 Console                    8     73,072 K
SearchUI.exe                 11524 Console                    8    164,876 K
RuntimeBroker.exe            18232 Console                    8     21,036 K
RuntimeBroker.exe             4624 Console                    8     16,504 K
ApplicationFrameHost.exe      3644 Console                    8     28,452 K
SkypeBackgroundHost.exe       5636 Console                    8     10,064 K
RuntimeBroker.exe             2496 Console                    8     16,792 K
MicrosoftEdge.exe            12736 Console                    8     61,080 K
SCNotification.exe             520 Console                    8     56,956 K
browser_broker.exe           16088 Console                    8      9,108 K
RuntimeBroker.exe            16392 Console                    8      6,996 K
MicrosoftEdgeCP.exe          18276 Console                    8     23,420 K
MicrosoftEdgeCP.exe          10356 Console                    8     26,204 K
ctfmon.exe                   12440 Console                    8     17,772 K
RAVBg64.exe                   8848 Console                    8      1,072 K
RAVBg64.exe                  16956 Console                    8        928 K
RAVCpl64.exe                  9888 Console                    8        972 K
lync.exe                      6716 Console                    8    105,048 K
OneDrive.exe                   200 Console                    8     44,588 K
vpnui.exe                    10372 Console                    8     24,204 K
dllhost.exe                  10100 Console                    8      9,772 K
notepad++.exe                14756 Console                    8     46,600 K
svchost.exe                  12824 Console                    8     19,828 K
cmd.exe                        472 Console                    8      3,920 K
conhost.exe                   4136 Console                    8     18,216 K
cmd.exe                      14372 Console                    8      3,980 K
conhost.exe                   3516 Console                    8     16,116 K
AcroRd32.exe                 14292 Console                    8     16,216 K
AcroRd32.exe                  8020 Console                    8     41,792 K
WinStore.App.exe             11764 Console                    8     39,328 K
RuntimeBroker.exe             6036 Console                    8      7,668 K
LPlatSvc.exe                  7672 Console                    8      7,312 K
LockApp.exe                   2616 Console                    8     46,016 K
RuntimeBroker.exe            11464 Console                    8     30,724 K
LPlatSvc.exe                 16748 Console                    8      7,348 K
python.exe                   14652 Console                    8     12,856 K
cmd.exe                      14952 Console                    8      3,444 K
more.com                     15248 Console                    8      3,256 K
python.exe                    4872 Console                    8     10,360 K
audiodg.exe                   7992 Services                   0     17,444 K
svchost.exe                  14692 Services                   0      7,380 K
WmiPrvSE.exe                 15404 Services                   0     15,152 K
SearchProtocolHost.exe       14404 Console                    8      8,372 K
SearchFilterHost.exe          3708 Services                   0      6,812 K
WmiPrvSE.exe                 16612 Services                   0     32,212 K
cmd.exe                       1612 Console                    8      3,488 K
tasklist.exe                 16276 Console                    8      8,200 K
